Title,URL,Procesado,Nota,Votos,Año,Reparto,Director,Compañias,Coproduccion,Generos,Premios
Espíritu del bosque,https://www.filmaffinity.com/es/film114610.html,Sí,4.4,369,2008,No se encontró información de reparto,David Rubín,"Dygra Films S.L, Fantastic Films Interntacional",Films,"Animación, Fantástico, Infantil, Secuela",2008: Premios Goya: Nominada a Mejor película de animación
Tirano Banderas,https://www.filmaffinity.com/es/film523068.html,Sí,4.4,443,1993,"Gian Maria Volonté, Ana Belén, Fernando Guillén, Juan Diego, Javier Gurruchaga, Manuel Bandera, Enrique San Francisco, Gabriela Roel, Omar Valdés, Ignacio López Tarso, Patricio Contreras, Gillian Vargas, Daisy Granados",José Luis García Sánchez,"Iberoamericana Films, ION Films, Atrium Producciones, Promociones Audiovisuales Reunidas, ICAIC",España-México-Cuba;Iberoamericana,"Drama, Años 20","1993: 6 Premios Goya: incluyendo mejor guión adaptado, montaje y dir. artística., 1993: Festival de Valladolid - Seminci. 1 premio. "
"Romasanta, la caza de la bestia",https://www.filmaffinity.com/es/film508460.html,Sí,4.4,4944,2004,"Julian Sands, Elsa Pataky, John Sharian, Gary Piquer, Maru Valdivielso, David Gant, Laura Mañá, Ivana Baquero, Luna McGill, Carlos Reig-Plaza, Reg Wilson, Sergi Ruiz, Jaume Montané",Paco Plaza,"Castelao Productions, Fantastic Factory","Productions,Fantastic","Terror, Siglo XIX, Hombres lobo","2004: Premios Goya: 2 nominaciones incluyendo mejor fotografía, 
2004: Festival de Málaga: Nominada a la Biznaga de Oro"
Ocho apellidos catalanes,https://www.filmaffinity.com/es/film264280.html,Sí,4.4,34648,2015,"Dani Rovira, Clara Lago, Karra Elejalde, Carmen Machi, Berto Romero, Belén Cuesta, Rosa María Sardà, Alfonso Sánchez, Alberto López, Agustín Jiménez, Esperanza Pedreño, Josep Maria Riera, César Maroto",Emilio Martínez-Lázaro,"Telecinco Cinema, Lazonafilms, Mogambo","Cinema,Lazonafilms,Mogambo","Comedia, Romance, Comedia romántica, Secuela, Bodas",
La cruz del diablo,https://www.filmaffinity.com/es/film464965.html,Sí,4.4,101,1975,"Carmen Sevilla, Adolfo Marsillach, Emma Cohen, Ramiro Oliveros, Eduardo Fajardo, Mónica Randall, Tony Isbert, Fernando Sancho, Silvia Vivó, Eduardo Calvo, Pascual Hernández, Antonio Ramis",John Gilling,Bulnes S.A,S.A,"Terror, Thriller",
El placer de matar,https://www.filmaffinity.com/es/film402417.html,Sí,4.4,117,1988,"Antonio Banderas, Mathieu Carrière, Victoria Abril, Berta Riaza, Walter Vidarte, Vicky Peña, Mario Gas, Jeannine Mestre",Félix Rotaeta,"Errota, LaurenFilm S.A",S.A,"Thriller, Crimen",1988: Nominada al Goya al mejor guión adaptado
Mi marido y sus complejos,https://www.filmaffinity.com/es/film947036.html,Sí,4.4,142,1969,"José Luis López Vázquez, Gracita Morales, Ingrid Garbo, Pastor Serrador, Mari Carmen Prendes, María Isbert, Marisol Ayuso, Matilde Muñoz Sampedro, Fernanda Hurtado, Irene Gutiérrez Caba, José María Tasso",Luis María Delgado,Universal Films Española,Films,Comedia,
La cera virgen,https://www.filmaffinity.com/es/film953466.html,Sí,4.4,211,1972,"Carmen Sevilla, José Luis López Vázquez, Manuel Alexandre, Maribel Martín, Francisco Algora, Julia Caba Alba, Alfonso del Real, Eva León",José María Forqué,Producciones Cinematográficas Orfeo,Cinematográficas,"Comedia, Musical",
Rojo intenso: la obsesión de un asesino,https://www.filmaffinity.com/es/film701821.html,Sí,4.4,290,2006,"María Elena Swett, Fabián Mazzei, Javier Martín, Paula Echevarría, Silvia Medina, Empar Ferrer, Juli Mira, Salvador Sacum, Liliana Ross, Tamara Acosta, Bárbara Elorrieta",Javier Elorrieta,Origen P.C,P.C,Thriller,
Tocata y fuga de Lolita,https://www.filmaffinity.com/es/film336243.html,Sí,4.4,353,1974,"Amparo Muñoz, Arturo Fernández, Pauline Challoner, Francisco Algora, Enriqueta Carballeira, Laly Soldevila, Manuel Alexandre, Alberto Fernández de Rosa, Germán Kraus, María Luisa Merlo",Antonio Drove,Ágata Films,Films,Comedia,
El amante bilingüe,https://www.filmaffinity.com/es/film595980.html,Sí,4.4,1729,1993,"Imanol Arias, Ornella Muti, Loles León, Javier Bardem, Fernando Guillén, Julieta Serrano, Eufemia Román, Blanca Apilánez, Jordi Dauder, Ricard Borrás, Arnau Vilardebó, Pep Cruz, Joan Lluis Bozzo, Maribel Verdú",Vicente Aranda,"Lolafilms, Atrium Productions, Cartel Films, Sogepaq, Antena3.com","Productions,Cartel","Drama, Erótico",1993: Premios Goya: Nominada a Mejor guión adaptado
"Camera Café, la película",https://www.filmaffinity.com/es/film801294.html,Sí,4.4,3939,2022,"Arturo Valls, Carlos Chamarro, Ana Milán, Carolina Cerezuela, Joaquín Reyes, Marta Belenguer, Álex O'Dogherty, Esperanza Pedreño, Ingrid García Jonsson, Luis Varela, Esperanza Elipe, Manuel Galiana, Juana Cordero",Ernesto Sevilla,"Pólvora Films, Estela Films, Atresmedia Cine, Movistar Plus+, Café Para Muy Cafeteros, Lacoproductora, Planar, Warner Bros. España",España-Portugal;Pólvora,"Comedia, Trabajo/empleo",
